Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
28,20,RL,98.0,11478,Pave,Reg,Lvl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,306000
29,20,RL,47.0,16321,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,207500
30,30,RM,60.0,6324,Pave,IR1,Lvl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1,240,68500
31,70,C (all),50.0,8500,Pave,Reg,Lvl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1,250,40000
32,20,RL,,8544,Pave,IR1,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1,271,149350
33,20,RL,85.0,11049,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007.0,RFn,2,484,179900
34,20,RL,70.0,10552,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,165500
35,120,RL,60.0,7313,Pave,Reg,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,277500
36,60,RL,108.0,13418,Pave,Reg,Lvl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,309000
37,20,RL,112.0,10859,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,,Attchd,1995.0,Unf,2,672,145000
38,20,RL,74.0,8532,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,153000
39,20,RL,68.0,7922,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,,Detchd,1953.0,Unf,1,246,109000
40,90,RL,65.0,6040,Pave,Reg,Lvl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,0.0,TA,TA,PConc,,,,,0,,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,,,,,0,0,82000
41,20,RL,84.0,8658,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,160000
42,20,RL,115.0,16905,Pave,Reg,Lvl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,170000
43,85,RL,,9180,Pave,IR1,Lvl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,,Attchd,1983.0,RFn,2,504,144000
44,20,RL,,9200,Pave,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1977.0,Unf,1,308,130250
45,20,RL,70.0,7945,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1,300,141000
46,120,RL,61.0,7658,Pave,Reg,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,319900
47,50,RL,48.0,12822,Pave,IR1,Lvl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,670,239686
48,20,FV,84.0,11096,Pave,Reg,Lvl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2006.0,RFn,3,826,249700
49,190,RM,33.0,4456,Pave,Reg,Lvl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,GasA,Gd,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,,,,,0,0,113000
50,20,RL,66.0,7742,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1966.0,Unf,1,386,127000
51,60,RL,,13869,Pave,IR2,Lvl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,,Attchd,1997.0,Fin,2,388,177000
52,50,RM,52.0,6240,Pave,Reg,Lvl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,528,114500
53,90,RM,110.0,8472,Grvl,IR2,Bnk,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,GasA,TA,N,SBrkr,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,,CarPort,1963.0,Unf,2,516,110000
54,20,RL,68.0,50271,Pave,IR1,Low,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,GasA,Gd,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,894,385000
55,80,RL,60.0,7134,Pave,Reg,Bnk,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,GasA,TA,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,Detchd,1962.0,Unf,2,572,130000
56,20,RL,100.0,10175,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,GasA,Gd,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2,576,180500
57,160,FV,24.0,2645,Pave,Reg,Lvl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,GasA,Ex,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,,Attchd,1999.0,Fin,2,480,172500
58,60,RL,89.0,11645,Pave,IR1,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,GasA,Ex,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,,Attchd,2004.0,RFn,2,565,196500
59,60,RL,66.0,13682,Pave,IR2,HLS,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,GasA,Ex,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,BuiltIn,2006.0,Fin,3,641,438780
60,20,RL,60.0,7200,Pave,Reg,Bnk,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,GasA,Ex,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,,Detchd,1973.0,Unf,1,352,124900
61,20,RL,63.0,13072,Pave,Reg,Lvl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,GasA,Ex,Y,SBrkr,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,,Detchd,2006.0,Unf,2,576,158000
62,75,RM,60.0,7200,Pave,Reg,Lvl,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,GasA,TA,N,SBrkr,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,,Detchd,1935.0,Unf,1,288,101000
63,120,RL,44.0,6442,Pave,IR1,Lvl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Y,SBrkr,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2,484,202500
64,70,RM,50.0,10300,Pave,IR1,Bnk,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,576,576,GasA,Gd,Y,SBrkr,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,,Detchd,1990.0,Unf,2,480,140000
65,60,RL,,9375,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,573.0,TA,TA,PConc,Gd,TA,No,GLQ,739,Unf,0,318,1057,GasA,Ex,Y,SBrkr,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,1998.0,RFn,2,645,219500
66,60,RL,76.0,9591,Pave,Reg,Lvl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,344.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1143,1143,GasA,Ex,Y,SBrkr,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,RFn,3,852,317000
67,20,RL,,19900,Pave,Reg,Lvl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,287.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,GasA,TA,Y,SBrkr,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,Gd,Attchd,1970.0,RFn,2,576,180000
68,20,RL,72.0,10665,Pave,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,167.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,GasA,Ex,Y,SBrkr,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2003.0,RFn,2,558,226000
69,30,RM,47.0,4608,Pave,Reg,Lvl,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,747,747,GasA,TA,Y,SBrkr,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,,Attchd,1945.0,Unf,1,220,80000
70,50,RL,81.0,15593,Pave,Reg,Lvl,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,603,Unf,0,701,1304,GasW,TA,Y,SBrkr,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1953.0,Fin,2,667,225000
71,20,RL,95.0,13651,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,1115.0,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,GasA,Ex,Y,SBrkr,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1973.0,Fin,2,516,244000
72,20,RL,69.0,7599,Pave,Reg,Lvl,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,0.0,TA,TA,CBlock,TA,TA,No,ALQ,565,Unf,0,280,845,GasA,TA,Y,SBrkr,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1987.0,Unf,2,360,129500
73,60,RL,74.0,10141,Pave,IR1,Lvl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,40.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,832,832,GasA,Gd,Y,SBrkr,885,833,0,1718,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1998.0,Fin,2,427,185000
74,20,RL,85.0,10200,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,Gable,104.0,TA,TA,CBlock,TA,TA,No,ALQ,320,BLQ,362,404,1086,GasA,Gd,Y,SBrkr,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1989.0,Unf,2,490,144900
